 temp:	  etot:	  ekin:	  epot:
   2365.444    	  -864.2415    	   56.18042    	  -920.4219    	   70.72196    
   2362.984    	  -866.2524    	   56.12199    	  -922.3745    	   70.66523    
   2360.645    	  -866.6248    	   56.06691    	  -922.6917    	   70.67918    
   2355.222    	  -868.2083    	   55.93812    	  -924.1464    	   70.52364    
   2347.130    	  -867.5165    	   55.74546    	  -923.2620    	   70.56582    
   2339.522    	  -867.6441    	   55.56477    	  -923.2089    	   70.53742    
   2347.602    	  -868.0966    	   55.75714    	  -923.8537    	   70.57957    
   2335.501    	  -867.2311    	   55.46973    	  -922.7008    	   70.60764    
   2331.607    	  -870.0148    	   55.37726    	  -925.3921    	   70.52279    
   2326.405    	  -869.1744    	   55.25369    	  -924.4281    	   70.63557    
   2321.461    	  -868.9850    	   55.13628    	  -924.1213    	   70.59303    
   2315.773    	  -870.8313    	   55.00119    	  -925.8325    	   70.53630    
   2312.322    	  -869.9150    	   54.91922    	  -924.8342    	   70.52204    
   2311.459    	  -870.6918    	   54.89874    	  -925.5906    	   70.69139    
   2307.612    	  -870.6050    	   54.80735    	  -925.4124    	   70.62057    
   2290.626    	  -870.9193    	   54.40345    	  -925.3227    	   70.54984    
   2291.149    	  -921.7986    	   54.41635    	  -976.2149    	   70.05741    
   2290.335    	  -934.6512    	   54.39703    	  -989.0483    	   69.83338    
   2225.399    	  -940.9194    	   52.85427    	  -993.7737    	   69.74944    
   2336.349    	  -913.9185    	   55.48987    	  -969.4083    	   70.30959    
   2270.581    	  -943.7869    	   53.92785    	  -997.7147    	   69.72121    
   2264.296    	  -942.5658    	   53.77810    	  -996.3439    	   69.93056    
   2260.617    	  -943.6605    	   53.69119    	  -997.3517    	   69.88838    
   2256.513    	  -929.9986    	   53.59372    	  -983.5923    	   70.16842    
   1981553.    	   46077.39    	   47063.02    	  -985.6262    	   70.37914    
   2246.365    	  -944.7562    	   53.35271    	  -998.1089    	   69.94395    
   2240.580    	  -946.6196    	   53.21531    	  -999.8350    	   69.83199    
   2234.796    	  -947.4227    	   53.07747    	  -1000.500    	   69.80401    
   2231.834    	  -948.0630    	   53.00759    	  -1001.071    	   69.83179    
   2249.492    	  -933.9250    	   53.42698    	  -987.3520    	   70.23785    
   2222.748    	  -943.4698    	   52.79179    	  -996.2617    	   70.05528    
   2212.112    	  -865.3531    	   52.53870    	  -917.8918    	   71.92955    
   2211.021    	  -936.7394    	   52.51326    	  -989.2526    	   70.73080    
   2203.954    	  -941.9366    	   52.34493    	  -994.2815    	   70.50462    
   2199.929    	  -942.8990    	   52.24936    	  -995.1484    	   70.57484    
   2196.198    	  -943.9171    	   52.16120    	  -996.0782    	   70.57469    
   2190.870    	  -944.8330    	   52.03468    	  -996.8677    	   70.53227    
   2186.422    	  -953.3740    	   51.92903    	  -1005.303    	   70.36286    
   2181.380    	  -954.3983    	   51.80928    	  -1006.208    	   70.34859    
   2175.057    	  -950.1833    	   51.65910    	  -1001.842    	   70.50340    
   2169.558    	  -950.9501    	   51.52802    	  -1002.478    	   70.37636    
   2164.992    	  -951.6254    	   51.41957    	  -1003.045    	   70.31995    
   2159.215    	  -951.6451    	   51.28236    	  -1002.927    	   70.31985    
   2154.881    	  -952.5914    	   51.17944    	  -1003.771    	   70.19333    
   2149.692    	  -952.8085    	   51.05619    	  -1003.865    	   70.27737    
   2144.878    	  -952.5121    	   50.94185    	  -1003.454    	   70.26307    
   2140.419    	  -952.9376    	   50.83643    	  -1003.774    	   70.26292    
   2134.359    	  -953.2991    	   50.69202    	  -1003.991    	   70.26289    
   2129.992    	  -953.8223    	   50.58831    	  -1004.411    	   70.20626    
   2124.697    	  -954.0223    	   50.46253    	  -1004.485    	   70.22022    
   2119.127    	  -953.4741    	   50.33025    	  -1003.804    	   70.24819    
  4.4569994E+09	  1.0584070E+08	  1.0585631E+08	  -15612.27    	   70.26204    
   2115.630    	  -874.3696    	   50.24768    	  -924.6173    	   72.35851    
   2103.635    	  -880.6418    	   49.96232    	  -930.6042    	   71.28091    
   2096.880    	  -883.7451    	   49.80187    	  -933.5469    	   70.84013    
   2093.156    	  -887.1015    	   49.71342    	  -936.8149    	   70.35987    
   2091.015    	  -888.7540    	   49.66306    	  -938.4171    	   70.20509    
   2083.066    	  -889.6649    	   49.47379    	  -939.1387    	   70.21892    
   2081.871    	  -888.7179    	   49.44587    	  -938.1638    	   70.31715    
   2075.604    	  -889.9958    	   49.29704    	  -939.2929    	   70.26079    
   2068.516    	  -890.8777    	   49.12822    	  -940.0059    	   70.19038    
   2066.734    	  -890.5397    	   49.08637    	  -939.6260    	   70.24632    
   2065.683    	  -891.4082    	   49.06141    	  -940.4696    	   70.21796    
   2056.764    	  -889.4372    	   48.84957    	  -938.2867    	   70.25997    
   2046.459    	  -889.5518    	   48.60435    	  -938.1562    	   70.27390    
   2043.083    	  -892.3574    	   48.52416    	  -940.8816    	   70.21752    
   2040.912    	  -891.6375    	   48.47309    	  -940.1105    	   70.25951    
   2037.919    	  -891.1491    	   48.40200    	  -939.5511    	   70.34377    
   2033.012    	  -892.7540    	   48.28544    	  -941.0394    	   70.23110    
   2025.647    	  -895.1994    	   48.11052    	  -943.3099    	   70.10454    
   2020.384    	  -895.9404    	   47.98552    	  -943.9259    	   70.04825    
   2014.923    	  -896.4637    	   47.85535    	  -944.3190    	   70.17435    
   2010.033    	  -895.3470    	   47.73967    	  -943.0867    	   70.20235    
   2004.400    	  -897.4293    	   47.60543    	  -945.0347    	   70.10403    
   1999.373    	  -896.9047    	   47.48603    	  -944.3907    	   70.01983    
   1995.698    	  -898.6600    	   47.39921    	  -946.0592    	   69.94965    
   1990.377    	  -897.9943    	   47.27285    	  -945.2672    	   70.04750    
   1987.125    	  -897.2386    	   47.19560    	  -944.4342    	   70.10331    
   1977.594    	  -897.9838    	   46.96875    	  -944.9525    	   70.18736    
   1974.376    	  -898.1279    	   46.89233    	  -945.0202    	   70.17312    
   1968.370    	  -897.9865    	   46.74968    	  -944.7362    	   70.08865    
   1968.982    	  -899.1146    	   46.76471    	  -945.8793    	   70.04642    
   1958.388    	  -898.8345    	   46.51261    	  -945.3471    	   70.15843    
   1954.961    	  -900.0419    	   46.43121    	  -946.4731    	   70.06015    
   1951.961    	  -901.9047    	   46.36044    	  -948.2651    	   69.94798    
   1943.550    	  -899.7018    	   46.16019    	  -945.8620    	   70.04590    
   1946.605    	  -901.7388    	   46.23324    	  -947.9720    	   69.89168    
   1931.526    	  -900.1361    	   45.87462    	  -946.0107    	   69.96143    
   1935.990    	  -901.8015    	   45.98113    	  -947.7827    	   69.90530    
   1925.515    	  -902.3763    	   45.73232    	  -948.1086    	   70.03107    
   1914.959    	  -903.3823    	   45.48114    	  -948.8635    	   69.84891    
   1915.035    	  -903.8849    	   45.48342    	  -949.3683    	   69.86272    
   1912.445    	  -903.6985    	   45.42192    	  -949.1204    	   69.96041    
   1905.283    	  -903.7150    	   45.25181    	  -948.9669    	   69.84839    
   1898.534    	  -906.3923    	   45.09105    	  -951.4834    	   69.84823    
   1891.094    	  -905.9101    	   44.91434    	  -950.8245    	   70.00193    
   1890.148    	  -904.4214    	   44.89235    	  -949.3137    	   69.86190    
   1883.678    	  -904.5121    	   44.73820    	  -949.2503    	   69.88967    
   1879.571    	  -904.6089    	   44.64066    	  -949.2496    	   69.93142    
   1874.437    	  -906.4111    	   44.51872    	  -950.9299    	   69.88931    
   1869.551    	  -907.6140    	   44.40267    	  -952.0166    	   69.81934    
   1869.212    	  -908.1631    	   44.39511    	  -952.5582    	   69.80524    
   1858.445    	  -908.5931    	   44.13890    	  -952.7321    	   69.90285    
   1852.704    	  -907.8640    	   44.00254    	  -951.8665    	   69.91660    
   1846.799    	  -909.4799    	   43.86230    	  -953.3422    	   69.80461    
   1843.054    	  -907.7781    	   43.77337    	  -951.5515    	   70.04219    
   1841.616    	  -909.1271    	   43.73969    	  -952.8668    	   69.91607    
   1837.238    	  -910.1579    	   43.63570    	  -953.7936    	   69.81801    
   1831.093    	  -911.1558    	   43.48975    	  -954.6456    	   69.90170    
   1828.206    	  -910.8241    	   43.42120    	  -954.2453    	   69.80355    
   1824.402    	  -912.2111    	   43.33085    	  -955.5419    	   69.85932    
   1814.760    	  -912.4805    	   43.10137    	  -955.5819    	   69.73354    
   1805.931    	  -912.0338    	   42.89165    	  -954.9254    	   69.85902    
   1800.664    	  -911.1267    	   42.76657    	  -953.8933    	   69.95673    
   1803.070    	  -912.8446    	   42.82419    	  -955.6688    	   69.77489    
   1792.996    	  -912.4667    	   42.58445    	  -955.0512    	   69.88644    
   1790.237    	  -912.6105    	   42.51941    	  -955.1299    	   69.84433    
   1783.093    	  -913.8894    	   42.34925    	  -956.2386    	   69.77437    
   1780.267    	  -915.3762    	   42.28262    	  -957.6588    	   69.69057    
   1776.029    	  -915.4224    	   42.18195    	  -957.6044    	   69.80205    
   1769.551    	  -916.0502    	   42.02761    	  -958.0778    	   69.77396    
   1766.101    	  -917.2601    	   41.94616    	  -959.2063    	   69.56480    
   1760.467    	  -915.5384    	   41.81234    	  -957.3507    	   69.63422    
   1746.648    	  -916.3792    	   41.48367    	  -957.8629    	   69.71759    
   1750.749    	  -916.2025    	   41.58153    	  -957.7840    	   69.77317    
   1748.965    	  -915.2549    	   41.53916    	  -956.7941    	   69.71721    
   1740.136    	  -916.5384    	   41.32946    	  -957.8679    	   69.67514    
   1730.129    	  -917.7664    	   41.09132    	  -958.8577    	   69.70286    
   1734.129    	  -912.2829    	   41.18681    	  -953.4697    	   69.60514    
   1725.836    	  -914.1145    	   40.98984    	  -955.1043    	   70.20618    
   1720.645    	  -917.7293    	   40.86654    	  -958.5958    	   69.93959    
   1716.866    	  -918.1813    	   40.77680    	  -958.9581    	   69.81362    
   1708.816    	  -912.8491    	   40.58513    	  -953.4343    	   70.13535    
   1709.323    	  -912.5436    	   40.59766    	  -953.1413    	   70.19138    
   1701.782    	  -916.4886    	   40.41855    	  -956.9072    	   70.02290    
   1698.799    	  -918.8647    	   40.34771    	  -959.2125    	   69.92471    
   1691.154    	  -921.5994    	   40.16611    	  -961.7655    	   69.68707    
   1683.703    	  -922.5463    	   39.98869    	  -962.5350    	   69.75668    
   1681.563    	  -922.1516    	   39.93832    	  -962.0899    	   69.84032    
   1674.186    	  -922.0240    	   39.76265    	  -961.7867    	   69.84010    
   1672.316    	  -922.2840    	   39.71871    	  -962.0027    	   69.74226    
   1663.341    	  -922.0930    	   39.50507    	  -961.5980    	   69.78395    
   1657.105    	  -922.4165    	   39.35696    	  -961.7734    	   69.79781    
   1655.639    	  -922.8528    	   39.32261    	  -962.1755    	   69.76978    
   1624.607    	  -952.7394    	   38.58513    	  -991.3246    	   69.64413    
   1646.917    	  -920.7230    	   39.11547    	  -959.8385    	   69.69967    
   1639.713    	  -923.9697    	   38.94388    	  -962.9136    	   69.69949    
   1635.302    	  -925.9355    	   38.83961    	  -964.7751    	   69.74109    
   1629.229    	  -925.3287    	   38.69489    	  -964.0236    	   69.58761    
