 i:	h421:	h552:	h422:	h332:	h433:
        2494	           0	           4	           0	           0	           0
        2495	           0	           0	           0	           1	           0
        2496	           0	           3	           0	           0	           0
        2497	           1	           1	           0	           0	           0
        2498	           0	           2	           1	           0	           0
        2499	           0	           5	           0	           0	           0
        2500	           0	           5	           0	           1	           0
        2501	           0	           3	           0	           0	           0
        2502	           0	           4	           0	           0	           0
        2503	           0	           1	           0	           1	           0
        2504	           0	           2	           8	           0	           0
        2505	           0	          10	           0	           0	           0
        2506	           2	           0	           1	           0	           0
        2507	           0	           7	           0	           0	           0
        2508	           0	           5	           0	           0	           0
        2509	           0	           6	           0	           0	           0
        2510	           0	           2	           0	           1	           0
        2511	           0	           4	           0	           0	           0
        2512	           1	           1	           2	           0	           0
        2513	           0	           5	           3	           0	           0
        2514	           0	           0	           3	           0	           0
        2515	           3	           0	           4	           0	           0
        2516	           0	           1	           0	           0	           0
        2517	           0	           1	           0	           0	           0
        2518	           1	           3	           0	           0	           0
        2519	           0	           4	           1	           0	           0
        2520	           1	           2	           0	           0	           0
        2521	           0	           1	           0	           1	           0
        2522	           0	           3	           0	           0	           0
        2523	           0	           2	           2	           0	           0
        2524	           0	           3	           0	           0	           0
        2525	           1	           3	           0	           0	           0
        2526	           1	           0	           0	           0	           0
        2527	           1	           0	           2	           0	           0
        2528	           0	           2	           1	           0	           0
        2529	           0	           2	           1	           1	           0
        2530	           0	           3	           0	           0	           0
        2531	           0	           4	           0	           0	           0
        2532	           0	           8	           0	           0	           0
        2533	           0	           1	           0	           0	           0
        2534	           0	           4	           0	           0	           0
        2535	           0	           1	           0	           0	           0
        2536	           0	           7	           0	           0	           0
        2537	           2	           1	           1	           0	           0
        2538	           0	           6	           0	           0	           0
        2539	           0	           2	           1	           0	           0
        2540	           0	           2	           0	           0	           0
        2541	           0	           0	           2	           0	           0
        2542	           1	           0	           3	           0	           0
        2543	           0	           5	           0	           0	           0
        2544	           1	           0	           1	           0	           0
        2545	           0	           0	           2	           0	           0
        2546	           0	           2	           0	           0	           0
        2547	           0	           3	           3	           0	           0
        2548	           0	           0	           0	           0	           0
        2549	           0	           5	           0	           0	           0
        2550	           0	           5	           0	           0	           0
        2551	           0	           2	           0	           1	           0
        2552	           0	           1	           0	           0	           0
        2553	           0	           1	           2	           0	           0
        2554	           2	           2	           0	           0	           0
        2555	           0	           0	           0	           0	           0
        2556	           0	           2	           1	           0	           0
        2557	           2	           2	           1	           0	           0
        2558	           0	           4	           2	           0	           0
        2559	           0	           0	           2	           0	           0
        2560	           0	           2	           0	           0	           0
        2561	           0	           1	           2	           0	           0
        2562	           0	           6	           0	           0	           0
        2563	           1	           2	           0	           0	           0
        2564	           0	           2	           0	           0	           0
        2565	           1	           1	           1	           0	           0
        2566	           2	           1	           2	           0	           0
        2567	           0	           1	           0	           0	           0
        2568	           1	           0	           0	           0	           0
        2569	           0	           0	           0	           0	           0
        2570	           1	           0	           4	           0	           0
        2571	           0	           2	           0	           0	           0
        2572	           0	           1	           1	           0	           0
        2573	           1	           1	           1	           0	           0
        2574	           0	           4	           0	           1	           0
        2575	           0	           2	           0	           0	           0
        2576	           0	           0	           1	           1	           0
        2577	           0	           4	           1	           0	           0
