 Distribution of h552:
 ico12:	           0	  0.0000000E+00
 ico11:	           0	  0.0000000E+00
 ico10:	           7	  2.3333333E-03
 ico9:	           2	  6.6666666E-04
 ico8:	          21	  7.0000002E-03
 ico7:	          37	  1.2333333E-02
 ico6:	          74	  2.4666667E-02
 ico5:	         154	  5.1333334E-02
 ico4:	         244	  8.1333332E-02
 ico3:	         403	  0.1343333    
 ico2:	         555	  0.1850000    
 ico1:	         762	  0.2540000    
 
 Distribution of h332:
 ico12:	           0	  0.0000000E+00
 ico11:	           0	  0.0000000E+00
 ico10:	           0	  0.0000000E+00
 ico9:	           0	  0.0000000E+00
 ico8:	           0	  0.0000000E+00
 ico7:	           0	  0.0000000E+00
 ico6:	           0	  0.0000000E+00
 ico5:	           0	  0.0000000E+00
 ico4:	           0	  0.0000000E+00
 ico3:	           0	  0.0000000E+00
 ico2:	          10	  3.3333334E-03
 ico1:	         208	  6.9333330E-02
 
 i:	h552:	h332:	neib:
        2613	           2	           0	          14
        2614	           2	           0	          13
        2615	           2	           0	          13
        2616	           0	           0	          14
        2617	           1	           0	          10
        2618	           1	           0	          11
        2619	           1	           0	          13
        2620	           4	           0	          15
        2621	           3	           0	          15
        2622	           1	           0	          15
        2623	           4	           0	          13
        2624	           1	           0	          13
        2625	           2	           0	          12
        2626	           5	           0	          12
        2627	           0	           1	          11
        2628	           1	           0	          14
        2629	           0	           0	          11
        2630	           2	           0	          13
        2631	           3	           0	          13
        2632	           0	           0	          12
        2633	           1	           0	          13
        2634	           0	           0	          13
        2635	           2	           0	          12
        2636	           2	           0	          16
        2637	           4	           0	          14
        2638	           5	           0	          13
        2639	           2	           1	          11
        2640	           2	           0	          15
        2641	           2	           0	          13
        2642	           3	           0	          13
        2643	           2	           0	          13
        2644	           3	           0	          13
        2645	           1	           0	          12
        2646	           6	           0	          15
        2647	           1	           0	          13
        2648	           3	           0	          14
        2649	           2	           0	          12
        2650	           4	           0	          13
        2651	           0	           0	          12
        2652	           3	           0	          14
        2653	           1	           0	          11
        2654	           4	           0	          13
        2655	           5	           0	          13
        2656	           1	           0	          13
        2657	           0	           0	          15
        2658	           0	           0	          14
        2659	           3	           0	          12
        2660	           0	           0	          14
        2661	           4	           0	          12
        2662	           3	           0	          11
        2663	           0	           0	          11
        2664	           2	           0	          13
        2665	           3	           0	          11
        2666	           3	           0	          12
        2667	           1	           0	          10
        2668	           3	           1	          15
        2669	           2	           0	          14
        2670	           4	           0	          14
        2671	           2	           0	          13
        2672	           1	           0	          11
        2673	           2	           0	          13
        2674	           3	           0	          14
        2675	           2	           0	          12
        2676	           2	           0	          13
        2677	           0	           0	          12
        2678	           1	           0	          13
        2679	           3	           0	          13
        2680	           0	           0	          14
        2681	           3	           0	          13
        2682	           3	           0	          14
        2683	           0	           0	          12
        2684	           3	           0	          12
        2685	           1	           0	          13
        2686	           2	           0	          14
        2687	           1	           1	          12
        2688	           0	           0	          14
        2689	           2	           0	          12
        2690	           4	           0	          13
        2691	           4	           0	          13
        2692	           0	           0	          12
        2693	           0	           0	          14
        2694	           2	           0	          11
        2695	           2	           0	          13
        2696	           2	           1	          13
        2697	           3	           0	          13
        2698	           3	           0	          13
        2699	           0	           0	          12
        2700	           8	           0	          14
        2701	           3	           0	          13
        2702	           4	           0	          13
        2703	           4	           0	          14
        2704	           4	           0	          13
        2705	           0	           1	          13
        2706	           2	           0	          14
        2707	           3	           0	          14
        2708	           0	           0	          13
        2709	           3	           0	          14
        2710	           0	           0	          13
        2711	           2	           0	          12
        2712	           0	           0	          13
        2713	           3	           0	          14
        2714	           0	           0	          12
        2715	           4	           0	          13
        2716	           0	           0	          13
        2717	           1	           0	          12
        2718	           0	           1	          13
        2719	           0	           1	          13
        2720	           1	           0	          14
        2721	           3	           0	          12
        2722	           3	           0	          14
        2723	           1	           0	          13
        2724	           3	           0	          14
        2725	           0	           0	          12
        2726	           1	           0	          12
        2727	           5	           0	          16
        2728	           4	           0	          12
        2729	           6	           0	          14
        2730	           6	           0	          14
        2731	           0	           0	          13
        2732	           1	           0	          14
        2733	           1	           0	          13
        2734	           1	           0	          13
        2735	           1	           0	          15
        2736	           0	           0	          12
        2737	           1	           0	          14
        2738	           4	           0	          12
        2739	           2	           0	          14
        2740	           1	           0	          12
        2741	           1	           0	          11
        2742	           5	           0	          13
        2743	           0	           0	          13
        2744	           0	           0	          12
        2745	           1	           0	          15
        2746	           1	           0	          14
        2747	           0	           1	          11
        2748	           2	           1	          14
        2749	           2	           0	          13
        2750	           2	           0	          13
        2751	           6	           0	          15
        2752	           8	           0	          14
        2753	           0	           0	          13
        2754	           1	           0	          13
        2755	           2	           0	          12
        2756	           3	           1	          14
        2757	           2	           0	          13
        2758	           0	           0	          12
        2759	           0	           0	          13
        2760	           4	           0	          16
        2761	           2	           0	          13
        2762	           2	           0	          14
        2763	           2	           0	          13
        2764	           2	           0	          12
        2765	           0	           1	          12
        2766	           1	           0	          12
        2767	           0	           0	          12
        2768	           1	           1	          14
        2769	           4	           0	          14
        2770	           0	           0	          13
        2771	           3	           1	          13
        2772	           6	           0	          13
        2773	           3	           0	          11
        2774	           1	           0	          11
        2775	           2	           0	          14
        2776	           3	           0	          16
        2777	           1	           0	          14
        2778	           3	           0	          13
        2779	           9	           0	          14
        2780	           2	           0	          14
        2781	           0	           0	          13
        2782	           2	           1	          14
        2783	           3	           0	          14
        2784	           0	           0	          13
        2785	           1	           0	          13
        2786	           1	           0	          13
        2787	           1	           1	          12
        2788	           1	           0	          13
        2789	           2	           0	          15
        2790	           5	           0	          14
        2791	           4	           0	          13
        2792	           2	           0	          13
        2793	           1	           0	          15
        2794	           0	           0	          12
        2795	           1	           0	          12
        2796	           4	           0	          12
        2797	           0	           0	          13
        2798	           3	           0	          13
        2799	           1	           0	          12
        2800	           1	           0	          13
        2801	           3	           0	          14
        2802	           0	           0	          13
        2803	           0	           0	          13
        2804	           5	           0	          14
        2805	           2	           0	          13
        2806	           0	           0	          14
        2807	           1	           0	          12
        2808	           0	           0	          13
        2809	           1	           0	          15
        2810	           0	           1	          12
        2811	           0	           0	          12
        2812	           1	           0	          12
        2813	           0	           0	          13
        2814	           2	           0	          12
        2815	           0	           1	          11
        2816	           1	           0	          13
        2817	           7	           0	          15
        2818	           1	           0	          12
        2819	           1	           0	          13
        2820	           0	           0	          14
        2821	           2	           0	          14
        2822	           0	           0	          12
        2823	           0	           0	          12
        2824	           0	           0	          13
        2825	           0	           0	          12
        2826	           2	           0	          14
        2827	           0	           1	          15
        2828	           2	           0	          12
        2829	           0	           0	          13
        2830	           1	           0	          13
        2831	           1	           0	          13
        2832	           5	           0	          14
        2833	           5	           0	          15
        2834	           2	           0	          12
        2835	           1	           0	          11
        2836	           2	           0	          15
        2837	           0	           0	          12
